st_code,cfra_code,major_head,year,vol,amt
40,223001906,2230,2005,3,-93.4
28,223560903,2235,2006,3,-93.31
40,223001906,2230,2006,3,-91.97
30,305480001,3054,2005,2,-91.85
32,205500911,2055,2005,3,-90.02
32,222501911,2225,2006,3,-89.98
1,305480799,3054,2006,2,-89.17
33,251500911,2515,2005,2,-89
33,207000911,2070,2006,3,-88.74
13,305480052,3054,2006,2,-86.28
27,223502911,2235,2005,3,-85.57
11,240601902,2406,2005,2,-84.96
28,223502911,2235,2005,3,-83.14
6,270108799,2701,2005,2,-81.11
40,205200911,2052,2006,3,-79.14
28,285100902,2851,2006,2,-78.16
24,221680003,2216,2005,3,-77.49
30,240601902,2406,2006,2,-77.06
24,205901052,2059,2005,3,-75.85
32,223002911,2230,2006,3,-75.78
30,220202911,2202,2006,3,-75.58
33,285100902,2851,2005,2,-75
21,221501799,2215,2006,3,-74.9
32,222503911,2225,2005,3,-74.82
40,205200911,2052,2005,3,-74.74
40,343503911,3435,2005,2,-73.77
32,223560911,2235,2005,3,-73.73
33,240601902,2406,2005,2,-72.3
32,285302911,2853,2005,2,-71.67
32,220280911,2202,2006,3,-71.63
40,240801101,2408,2005,2,-71.17
24,221680052,2216,2006,3,-70.97
10,220201911,2202,2006,3,-69.23
40,240701911,2407,2006,2,-68.19
33,285100911,2851,2005,2,-67.75
40,220400911,2204,2005,3,-67.13
2,205980052,2059,2005,3,-63.27
33,223502911,2235,2005,3,-62.92
28,285100902,2851,2005,2,-62.33
32,202900911,2029,2005,3,-62.28
15,280105799,2801,2006,2,-62.2
33,240500911,2405,2005,2,-61.69
14,305480052,3054,2006,2,-61.24
32,223560911,2235,2006,3,-59.6
10,222501911,2225,2006,3,-58.09
32,270202911,2702,2005,2,-57.71
23,221501799,2215,2006,3,-54.33
40,222501911,2225,2005,3,-53.22
32,223001911,2230,2005,3,-52.77
11,205960799,2059,2005,3,-51.96
32,255101911,2551,2005,2,-50.2
40,240701902,2407,2005,2,-50
33,224502197,2245,2006,3,-49.94
32,224501911,2245,2005,3,-47.51
34,305404911,3054,2005,2,-46.32
32,221001911,2210,2006,3,-46.02
40,240100911,2401,2005,2,-45.23
2,205901796,2059,2006,3,-44.81
27,221780911,2217,2006,3,-44.71
30,345201902,3452,2005,2,-44.59
33,224501101,2245,2006,3,-43.9
33,345280911,3452,2005,2,-43.74
33,240100911,2401,2006,2,-43.14
40,343560911,3435,2005,2,-41.18
32,223001902,2230,2006,3,-40.56
32,223001902,2230,2005,3,-39.49
6,221501052,2215,2006,3,-39.45
11,240601902,2406,2006,2,-38.59
34,221780911,2217,2006,3,-38.47
32,250560911,2505,2005,2,-38.36
40,270180902,2701,2005,2,-38.14
11,205960799,2059,2006,3,-37.81
29,345600902,3456,2006,2,-37.8
40,220280911,2202,2006,3,-37.32
32,223502911,2235,2006,3,-36.99
10,224502911,2245,2006,3,-36.37
32,305480799,3054,2006,2,-36.12
30,251500911,2515,2005,2,-35.98
40,220203911,2202,2005,3,-35.13
32,223502911,2235,2005,3,-35.12
33,221100911,2211,2005,3,-35.02
30,280105799,2801,2005,2,-33.73
32,240100911,2401,2006,2,-33.2
10,305403799,3054,2006,2,-32.44
34,305404911,3054,2006,2,-32.08
34,222501911,2225,2005,3,-31.67
32,222503911,2225,2006,3,-31.02
27,204000911,2040,2005,3,-30.62
28,224502118,2245,2006,3,-30.04
33,222060911,2220,2006,3,-29.71
40,223002911,2230,2006,3,-29.34
32,223003911,2230,2005,3,-29.03
32,222580911,2225,2005,3,-28.87
32,240601911,2406,2006,2,-27.83
32,221003911,2210,2005,3,-27.76
20,305480799,3054,2006,2,-27.67
32,220203911,2202,2006,3,-27.49
18,205901799,2059,2005,3,-27.42
27,220500911,2205,2006,3,-27.04
34,205980799,2059,2006,3,-26.8
40,345401911,3454,2005,2,-25.52
34,221780911,2217,2005,3,-25.29
40,225100911,2251,2006,3,-25.23
33,221001800,2210,2005,3,-25.19
32,220203911,2202,2005,3,-25.18
11,224502911,2245,2005,3,-25
6,270004799,2700,2005,2,-24.97
40,207000911,2070,2006,3,-24.69
40,223680911,2236,2005,3,-24.5
33,223602911,2236,2006,3,-24.47
27,225000911,2250,2006,3,-24.22
30,205980052,2059,2006,3,-24.19
33,241501902,2415,2005,2,-24.04
27,205800911,2058,2005,3,-23.98
32,250106911,2501,2005,2,-23.73
34,221501911,2215,2005,3,-23.54
32,270180911,2701,2005,2,-23.5
6,221501052,2215,2005,3,-22.29
8,270180799,2701,2005,2,-22.09
32,205500911,2055,2006,3,-22.07
32,345100911,3451,2005,2,-21.91
28,205500911,2055,2005,3,-21.87
40,288502911,2885,2006,2,-21.77
13,280105052,2801,2006,2,-21.76
40,221780911,2217,2005,3,-21.74
32,240400911,2404,2005,2,-21.33
40,240703902,2407,2005,2,-21
32,242500911,2425,2005,2,-20.9
11,270280799,2702,2005,2,-20.63
10,223001911,2230,2006,3,-20.3
1,221501799,2215,2006,3,-20.3
34,251500911,2515,2005,2,-20.22
34,221705911,2217,2006,3,-20.2
32,203003911,2030,2005,3,-20.03
6,305500901,3055,2006,2,-20
6,305500901,3055,2005,2,-20
7,205980052,2059,2005,3,-19.73
30,222001911,2220,2006,3,-19.32
3,305480052,3054,2006,2,-18.69
11,270280799,2702,2006,2,-18.54
28,345401800,3454,2006,2,-18.5
32,240601911,2406,2005,2,-18.41
21,270280052,2702,2006,2,-18.41
40,280104911,2801,2006,2,-18.1
14,201500103,2015,2005,3,-18.06
40,225100911,2251,2005,3,-17.41
33,204700911,2047,2006,3,-17.25
40,220205911,2202,2006,3,-17.12
32,221002911,2210,2005,3,-17.04
14,205980052,2059,2005,3,-16.98
7,205980052,2059,2006,3,-16.36
30,202900911,2029,2005,3,-16.35
32,347500902,3475,2005,2,-15.73
40,220205911,2202,2005,3,-15.69
32,345280911,3452,2005,2,-15.62
34,221705911,2217,2005,3,-15.55
33,204901911,2049,2006,3,-15.49
27,270280911,2702,2006,2,-15.45
30,285100911,2851,2006,2,-15.37
28,220202911,2202,2005,3,-15.14
27,223560911,2235,2005,3,-15.09
40,240760902,2407,2005,2,-15
32,221005911,2210,2006,3,-14.86
40,205500911,2055,2006,3,-14.28
32,203900911,2039,2005,3,-14.27
32,223001911,2230,2006,3,-14.13
32,221003911,2210,2006,3,-14.04
27,207000911,2070,2006,3,-13.94
33,204700911,2047,2005,3,-13.66
27,205980911,2059,2005,3,-13.59
32,221005911,2210,2005,3,-13.48
